Sr. No.,Name,Symbol,Date,Open,High,Low,Close,Volume,Market Cap
1,Ethereum,ETH,"Jul 05, 2022","$1,150.51 ","$1,165.68 ","$1,086.83 ","$1,134.54 ","$16,195,518,291 ","$137,763,639,219 "
2,Ethereum,ETH,"Jul 04, 2022","$1,073.79 ","$1,152.94 ","$1,048.40 ","$1,151.06 ","$13,670,889,311 ","$139,753,790,719 "
3,Ethereum,ETH,"Jul 03, 2022","$1,066.47 ","$1,083.42 ","$1,044.01 ","$1,073.77 ","$8,557,248,150 ","$130,354,920,626 "
4,Ethereum,ETH,"Jul 02, 2022","$1,060.12 ","$1,073.05 ","$1,033.96 ","$1,066.51 ","$9,935,603,640 ","$129,459,761,680 "
5,Ethereum,ETH,"Jul 01, 2022","$1,068.32 ","$1,100.22 ","$1,040.15 ","$1,059.77 ","$17,499,453,625 ","$128,626,459,283 "
6,Ethereum,ETH,"Jun 30, 2022","$1,099.35 ","$1,103.69 ","$1,009.09 ","$1,067.30 ","$16,350,755,497 ","$129,526,314,725 "
7,Ethereum,ETH,"Jun 29, 2022","$1,144.52 ","$1,152.68 ","$1,092.10 ","$1,098.94 ","$15,386,286,815 ","$133,353,794,241 "
8,Ethereum,ETH,"Jun 28, 2022","$1,193.25 ","$1,229.74 ","$1,141.16 ","$1,144.58 ","$14,023,205,651 ","$138,878,854,102 "
9,Ethereum,ETH,"Jun 27, 2022","$1,199.71 ","$1,234.18 ","$1,179.79 ","$1,193.68 ","$12,492,225,250 ","$144,823,390,350 "
10,Ethereum,ETH,"Jun 26, 2022","$1,242.99 ","$1,272.13 ","$1,199.41 ","$1,199.83 ","$12,096,607,824 ","$145,556,215,206 "
11,Ethereum,ETH,"Jun 25, 2022","$1,226.72 ","$1,246.39 ","$1,184.56 ","$1,243.45 ","$12,481,946,184 ","$150,833,549,828 "
12,Ethereum,ETH,"Jun 24, 2022","$1,143.20 ","$1,238.62 ","$1,134.51 ","$1,226.84 ","$16,981,552,654 ","$148,805,951,210 "
13,Ethereum,ETH,"Jun 23, 2022","$1,051.33 ","$1,146.49 ","$1,050.22 ","$1,143.39 ","$14,657,862,919 ","$138,670,376,993 "
14,Ethereum,ETH,"Jun 22, 2022","$1,125.37 ","$1,126.26 ","$1,049.76 ","$1,051.42 ","$15,010,593,493 ","$127,505,209,522 "
15,Ethereum,ETH,"Jun 21, 2022","$1,127.51 ","$1,185.43 ","$1,112.57 ","$1,124.82 ","$15,632,089,439 ","$136,394,173,951 "
16,Ethereum,ETH,"Jun 20, 2022","$1,127.66 ","$1,159.99 ","$1,066.11 ","$1,127.64 ","$19,739,691,429 ","$136,722,871,084 "
17,Ethereum,ETH,"Jun 19, 2022",$993.40 ,"$1,142.34 ",$943.12 ,"$1,127.66 ","$21,795,481,981 ","$136,710,815,910 "
18,Ethereum,ETH,"Jun 18, 2022","$1,086.38 ","$1,095.17 ",$896.11 ,$993.64 ,"$21,655,406,608 ","$120,451,036,891 "
19,Ethereum,ETH,"Jun 17, 2022","$1,067.99 ","$1,112.47 ","$1,060.87 ","$1,086.52 ","$14,591,486,540 ","$131,697,196,726 "
20,Ethereum,ETH,"Jun 16, 2022","$1,233.60 ","$1,246.14 ","$1,058.78 ","$1,067.73 ","$18,907,671,369 ","$129,406,748,348 "
21,Ethereum,ETH,"Jun 15, 2022","$1,211.37 ","$1,236.63 ","$1,025.68 ","$1,233.21 ","$37,539,999,450 ","$149,446,989,787 "
22,Ethereum,ETH,"Jun 14, 2022","$1,204.56 ","$1,252.47 ","$1,094.70 ","$1,211.66 ","$33,327,826,525 ","$146,821,604,380 "
23,Ethereum,ETH,"Jun 13, 2022","$1,443.84 ","$1,448.74 ","$1,181.95 ","$1,204.58 ","$45,162,788,786 ","$145,949,007,641 "
24,Ethereum,ETH,"Jun 12, 2022","$1,530.19 ","$1,539.71 ","$1,436.18 ","$1,445.22 ","$23,465,074,882 ","$175,086,938,732 "
25,Ethereum,ETH,"Jun 11, 2022","$1,665.22 ","$1,679.31 ","$1,507.04 ","$1,529.66 ","$21,127,089,064 ","$185,298,897,902 "
26,Ethereum,ETH,"Jun 10, 2022","$1,789.69 ","$1,797.61 ","$1,663.43 ","$1,665.04 ","$18,504,740,451 ","$201,677,680,445 "
27,Ethereum,ETH,"Jun 09, 2022","$1,793.51 ","$1,827.29 ","$1,779.87 ","$1,789.83 ","$12,013,083,393 ","$216,770,182,921 "
28,Ethereum,ETH,"Jun 08, 2022","$1,814.10 ","$1,830.68 ","$1,770.23 ","$1,793.57 ","$18,041,476,023 ","$217,202,109,119 "
29,Ethereum,ETH,"Jun 07, 2022","$1,859.33 ","$1,862.91 ","$1,729.41 ","$1,814.05 ","$24,020,076,750 ","$219,659,418,081 "
30,Ethereum,ETH,"Jun 06, 2022","$1,805.64 ","$1,915.03 ","$1,804.99 ","$1,859.29 ","$16,518,471,852 ","$225,114,630,766 "
31,Ethereum,ETH,"Jun 05, 2022","$1,801.82 ","$1,825.86 ","$1,777.13 ","$1,805.20 ","$8,850,385,937 ","$218,544,227,814 "
32,Ethereum,ETH,"Jun 04, 2022","$1,775.22 ","$1,810.30 ","$1,751.53 ","$1,801.61 ","$8,677,951,273 ","$218,086,698,232 "
33,Ethereum,ETH,"Jun 03, 2022","$1,834.14 ","$1,840.06 ","$1,746.51 ","$1,775.08 ","$14,878,001,811 ","$214,853,197,853 "
34,Ethereum,ETH,"Jun 02, 2022","$1,822.41 ","$1,845.31 ","$1,789.66 ","$1,834.15 ","$17,065,041,354 ","$221,979,536,504 "
35,Ethereum,ETH,"Jun 01, 2022","$1,942.05 ","$1,965.17 ","$1,776.05 ","$1,823.57 ","$21,037,797,760 ","$220,675,468,264 "
36,Ethereum,ETH,"May 31, 2022","$1,996.41 ","$2,005.49 ","$1,932.35 ","$1,942.33 ","$18,363,115,560 ","$235,021,820,715 "
37,Ethereum,ETH,"May 30, 2022","$1,811.89 ","$2,005.21 ","$1,804.46 ","$1,996.44 ","$19,580,808,705 ","$241,543,951,897 "
38,Ethereum,ETH,"May 29, 2022","$1,792.18 ","$1,818.78 ","$1,765.94 ","$1,812.03 ","$10,642,556,101 ","$219,209,358,147 "
39,Ethereum,ETH,"May 28, 2022","$1,762.48 ","$1,800.47 ","$1,724.64 ","$1,792.42 ","$12,897,702,711 ","$216,813,374,963 "
40,Ethereum,ETH,"May 27, 2022","$1,802.54 ","$1,814.66 ","$1,721.26 ","$1,724.92 ","$25,470,760,032 ","$208,627,071,823 "
41,Ethereum,ETH,"May 26, 2022","$1,945.03 ","$1,962.17 ","$1,759.20 ","$1,803.91 ","$23,458,681,818 ","$218,157,454,743 "
42,Ethereum,ETH,"May 25, 2022","$1,978.68 ","$2,014.37 ","$1,943.94 ","$1,944.83 ","$13,364,545,730 ","$235,174,141,324 "
43,Ethereum,ETH,"May 24, 2022","$1,972.39 ","$1,991.54 ","$1,920.69 ","$1,978.98 ","$13,057,109,007 ","$239,278,614,834 "
44,Ethereum,ETH,"May 23, 2022","$2,042.34 ","$2,080.33 ","$1,964.39 ","$1,972.18 ","$16,434,529,708 ","$238,431,020,387 "
45,Ethereum,ETH,"May 22, 2022","$1,974.67 ","$2,047.19 ","$1,966.04 ","$2,043.17 ","$10,941,123,403 ","$246,986,847,793 "
46,Ethereum,ETH,"May 21, 2022","$1,961.02 ","$1,985.40 ","$1,944.27 ","$1,974.52 ","$8,546,822,406 ","$238,662,541,735 "
47,Ethereum,ETH,"May 20, 2022","$2,018.00 ","$2,054.80 ","$1,926.68 ","$1,961.32 ","$15,892,482,289 ","$237,041,503,833 "
48,Ethereum,ETH,"May 19, 2022","$1,916.15 ","$2,028.39 ","$1,907.02 ","$2,018.34 ","$18,734,247,914 ","$243,906,956,357 "
49,Ethereum,ETH,"May 18, 2022","$2,090.46 ","$2,102.33 ","$1,916.66 ","$1,916.66 ","$17,740,965,589 ","$231,594,842,726 "
